xvariable,xvalue,xlabel_en,xlabel_ne,yvariable,yvalue,ylabel_en,ylabel_ne,total,percoftotal,variablegroup,index
m_biz_years_in_operation,5,11 years or above,११ बर्ष वा माथि,i_covid_effect_business,6,Lack of mobility and access to services due to government-imposed lockdown,सरकारद्वारा लगाइएको लकडाउनका कारण गतिशीलताको र सेवाहरूको पहुँचको अभाव,19,0.16964285714285715,impact,1
m_biz_years_in_operation,5,11 years or above,११ बर्ष वा माथि,i_covid_effect_business,1,Reduced volume of business,व्यापारको मात्रा कम गरियो,23,0.20535714285714285,impact,2
m_biz_years_in_operation,5,11 years or above,११ बर्ष वा माथि,i_covid_effect_business,9,Lack of adequate financial resources,पर्याप्त वित्तीय स्रोतहरूको अभाव,14,0.125,impact,3
m_biz_years_in_operation,5,11 years or above,११ बर्ष वा माथि,i_covid_effect_business,2,Increased Covid-19 cases in our area,हाम्रो क्षेत्रमा कोभिड-१९ केसहरू बढ्यो ,8,0.07142857142857142,impact,4
m_biz_years_in_operation,5,11 years or above,११ बर्ष वा माथि,i_covid_effect_business,5,Supply chain disruption,आपूर्ति श्रृंखला अवरोध,6,0.05357142857142857,impact,5
m_biz_years_in_operation,5,11 years or above,११ बर्ष वा माथि,i_covid_effect_business,10,Other,अन्य,9,0.08035714285714286,impact,6
m_biz_years_in_operation,4,6 to 10 years,६-१० बर्ष,i_covid_effect_business,6,Lack of mobility and access to services due to government-imposed lockdown,सरकारद्वारा लगाइएको लकडाउनका कारण गतिशीलताको र सेवाहरूको पहुँचको अभाव,16,0.14285714285714285,impact,7
m_biz_years_in_operation,4,6 to 10 years,६-१० बर्ष,i_covid_effect_business,1,Reduced volume of business,व्यापारको मात्रा कम गरियो,14,0.125,impact,8
m_biz_years_in_operation,4,6 to 10 years,६-१० बर्ष,i_covid_effect_business,9,Lack of adequate financial resources,पर्याप्त वित्तीय स्रोतहरूको अभाव,9,0.08035714285714286,impact,9
m_biz_years_in_operation,4,6 to 10 years,६-१० बर्ष,i_covid_effect_business,2,Increased Covid-19 cases in our area,हाम्रो क्षेत्रमा कोभिड-१९ केसहरू बढ्यो ,6,0.05357142857142857,impact,10
m_biz_years_in_operation,4,6 to 10 years,६-१० बर्ष,i_covid_effect_business,5,Supply chain disruption,आपूर्ति श्रृंखला अवरोध,2,0.017857142857142856,impact,11
m_biz_years_in_operation,4,6 to 10 years,६-१० बर्ष,i_covid_effect_business,10,Other,अन्य,5,0.044642857142857144,impact,12
m_biz_years_in_operation,3,3 to 5 years,३-५ बर्ष,i_covid_effect_business,6,Lack of mobility and access to services due to government-imposed lockdown,सरकारद्वारा लगाइएको लकडाउनका कारण गतिशीलताको र सेवाहरूको पहुँचको अभाव,24,0.21428571428571427,impact,13
m_biz_years_in_operation,3,3 to 5 years,३-५ बर्ष,i_covid_effect_business,1,Reduced volume of business,व्यापारको मात्रा कम गरियो,22,0.19642857142857142,impact,14
m_biz_years_in_operation,3,3 to 5 years,३-५ बर्ष,i_covid_effect_business,9,Lack of adequate financial resources,पर्याप्त वित्तीय स्रोतहरूको अभाव,13,0.11607142857142858,impact,15
m_biz_years_in_operation,3,3 to 5 years,३-५ बर्ष,i_covid_effect_business,2,Increased Covid-19 cases in our area,हाम्रो क्षेत्रमा कोभिड-१९ केसहरू बढ्यो ,13,0.11607142857142858,impact,16
m_biz_years_in_operation,3,3 to 5 years,३-५ बर्ष,i_covid_effect_business,5,Supply chain disruption,आपूर्ति श्रृंखला अवरोध,7,0.0625,impact,17
m_biz_years_in_operation,3,3 to 5 years,३-५ बर्ष,i_covid_effect_business,10,Other,अन्य,7,0.0625,impact,18
m_biz_years_in_operation,2,1 to 2 years,१-२ बर्ष,i_covid_effect_business,6,Lack of mobility and access to services due to government-imposed lockdown,सरकारद्वारा लगाइएको लकडाउनका कारण गतिशीलताको र सेवाहरूको पहुँचको अभाव,14,0.125,impact,19
m_biz_years_in_operation,2,1 to 2 years,१-२ बर्ष,i_covid_effect_business,1,Reduced volume of business,व्यापारको मात्रा कम गरियो,12,0.10714285714285714,impact,20
m_biz_years_in_operation,2,1 to 2 years,१-२ बर्ष,i_covid_effect_business,9,Lack of adequate financial resources,पर्याप्त वित्तीय स्रोतहरूको अभाव,9,0.08035714285714286,impact,21
m_biz_years_in_operation,2,1 to 2 years,१-२ बर्ष,i_covid_effect_business,2,Increased Covid-19 cases in our area,हाम्रो क्षेत्रमा कोभिड-१९ केसहरू बढ्यो ,8,0.07142857142857142,impact,22
m_biz_years_in_operation,2,1 to 2 years,१-२ बर्ष,i_covid_effect_business,5,Supply chain disruption,आपूर्ति श्रृंखला अवरोध,5,0.044642857142857144,impact,23
m_biz_years_in_operation,2,1 to 2 years,१-२ बर्ष,i_covid_effect_business,10,Other,अन्य,7,0.0625,impact,24
m_biz_years_in_operation,1,Less than a year,एक बर्ष भन्दा कम,i_covid_effect_business,6,Lack of mobility and access to services due to government-imposed lockdown,सरकारद्वारा लगाइएको लकडाउनका कारण गतिशीलताको र सेवाहरूको पहुँचको अभाव,1,0.008928571428571428,impact,25
